CPX-1015	MET4-MET28-MET32 sulfur metabolism transcription factor complex	S000217642	C	nucleus	GO:0005634	protein complex
CPX-1015	MET4-MET28-MET32 sulfur metabolism transcription factor complex	S000217642	C	organelle	GO:0043226	protein complex
CPX-1015	MET4-MET28-MET32 sulfur metabolism transcription factor complex	S000217642	F	DNA-binding transcription factor activity	GO:0003700	protein complex
CPX-1015	MET4-MET28-MET32 sulfur metabolism transcription factor complex	S000217642	P	biological process	GO:0008150	protein complex
CPX-1016	CBF1-MET4-MET28 sulfur metabolism transcription factor complex	S000217643	C	nucleus	GO:0005634	protein complex
CPX-1016	CBF1-MET4-MET28 sulfur metabolism transcription factor complex	S000217643	C	organelle	GO:0043226	protein complex
CPX-1016	CBF1-MET4-MET28 sulfur metabolism transcription factor complex	S000217643	F	DNA-binding transcription factor activity	GO:0003700	protein complex
CPX-1016	CBF1-MET4-MET28 sulfur metabolism transcription factor complex	S000217643	P	biological process	GO:0008150	protein complex
CPX-1018	DRS2-CDC50 P4-ATPase complex	S000217644	C	cellular component	GO:0005575	protein complex
CPX-1018	DRS2-CDC50 P4-ATPase complex	S000217644	F	ion binding	GO:0043167	protein complex
CPX-1018	DRS2-CDC50 P4-ATPase complex	S000217644	P	lipid transport	GO:0006869	protein complex
CPX-1018	DRS2-CDC50 P4-ATPase complex	S000217644	P	membrane organization	GO:0061024	protein complex
CPX-1018	DRS2-CDC50 P4-ATPase complex	S000217644	P	transport	GO:0006810	protein complex
CPX-1021	DNF1-LEM3 P4-ATPase complex	S000217645	C	membrane	GO:0016020	protein complex
CPX-1021	DNF1-LEM3 P4-ATPase complex	S000217645	C	plasma membrane	GO:0005886	protein complex
CPX-1021	DNF1-LEM3 P4-ATPase complex	S000217645	F	ion binding	GO:0043167	protein complex
CPX-1021	DNF1-LEM3 P4-ATPase complex	S000217645	P	lipid transport	GO:0006869	protein complex
CPX-1021	DNF1-LEM3 P4-ATPase complex	S000217645	P	membrane organization	GO:0061024	protein complex
CPX-1021	DNF1-LEM3 P4-ATPase complex	S000217645	P	transport	GO:0006810	protein complex
CPX-1022	DNF2-LEM3 P4-ATPase complex	S000217646	C	membrane	GO:0016020	protein complex
CPX-1022	DNF2-LEM3 P4-ATPase complex	S000217646	C	plasma membrane	GO:0005886	protein complex
CPX-1022	DNF2-LEM3 P4-ATPase complex	S000217646	F	ion binding	GO:0043167	protein complex
CPX-1022	DNF2-LEM3 P4-ATPase complex	S000217646	P	lipid transport	GO:0006869	protein complex
CPX-1022	DNF2-LEM3 P4-ATPase complex	S000217646	P	membrane organization	GO:0061024	protein complex
CPX-1022	DNF2-LEM3 P4-ATPase complex	S000217646	P	transport	GO:0006810	protein complex
CPX-1026	DNF3-CRF1 P4-ATPase complex	S000217647	C	cellular component	GO:0005575	protein complex
CPX-1026	DNF3-CRF1 P4-ATPase complex	S000217647	F	ion binding	GO:0043167	protein complex
CPX-1026	DNF3-CRF1 P4-ATPase complex	S000217647	P	lipid transport	GO:0006869	protein complex
CPX-1026	DNF3-CRF1 P4-ATPase complex	S000217647	P	membrane organization	GO:0061024	protein complex
CPX-1026	DNF3-CRF1 P4-ATPase complex	S000217647	P	transport	GO:0006810	protein complex
CPX-1028	NEO1-MON2-ARL1-DOP1 membrane remodeling complex	S000217648	C	membrane	GO:0016020	protein complex
CPX-1028	NEO1-MON2-ARL1-DOP1 membrane remodeling complex	S000217648	F	molecular function	GO:0003674	protein complex
CPX-1028	NEO1-MON2-ARL1-DOP1 membrane remodeling complex	S000217648	P	membrane organization	GO:0061024	protein complex
CPX-1036	DNA mismatch repair MutSbeta complex	S000217924	C	nucleus	GO:0005634	protein complex
CPX-1036	DNA mismatch repair MutSbeta complex	S000217924	C	organelle	GO:0043226	protein complex
CPX-1036	DNA mismatch repair MutSbeta complex	S000217924	F	DNA binding	GO:0003677	protein complex
CPX-1036	DNA mismatch repair MutSbeta complex	S000217924	P	DNA damage response	GO:0006974	protein complex
CPX-1036	DNA mismatch repair MutSbeta complex	S000217924	P	DNA metabolic process	GO:0006259	protein complex
CPX-1036	DNA mismatch repair MutSbeta complex	S000217924	P	DNA repair	GO:0006281	protein complex
CPX-1036	DNA mismatch repair MutSbeta complex	S000217924	P	response to stress	GO:0006950	protein complex
CPX-1037	DNA mismatch repair MutSalpha complex	S000217925	C	nucleus	GO:0005634	protein complex
CPX-1037	DNA mismatch repair MutSalpha complex	S000217925	C	organelle	GO:0043226	protein complex
CPX-1037	DNA mismatch repair MutSalpha complex	S000217925	F	ATP hydrolysis activity	GO:0016887	protein complex
CPX-1037	DNA mismatch repair MutSalpha complex	S000217925	F	DNA binding	GO:0003677	protein complex
CPX-1037	DNA mismatch repair MutSalpha complex	S000217925	F	hydrolase activity	GO:0016787	protein complex
CPX-1037	DNA mismatch repair MutSalpha complex	S000217925	F	ion binding	GO:0043167	protein complex
CPX-1037	DNA mismatch repair MutSalpha complex	S000217925	P	DNA damage response	GO:0006974	protein complex
CPX-1037	DNA mismatch repair MutSalpha complex	S000217925	P	DNA metabolic process	GO:0006259	protein complex
CPX-1037	DNA mismatch repair MutSalpha complex	S000217925	P	DNA repair	GO:0006281	protein complex
CPX-1037	DNA mismatch repair MutSalpha complex	S000217925	P	response to stress	GO:0006950	protein complex
CPX-1038	PIP2-OAF1 transcription factor complex	S000217926	C	nucleus	GO:0005634	protein complex
CPX-1038	PIP2-OAF1 transcription factor complex	S000217926	C	organelle	GO:0043226	protein complex
CPX-1038	PIP2-OAF1 transcription factor complex	S000217926	F	DNA binding	GO:0003677	protein complex
CPX-1038	PIP2-OAF1 transcription factor complex	S000217926	P	lipid metabolic process	GO:0006629	protein complex
CPX-1038	PIP2-OAF1 transcription factor complex	S000217926	P	monocarboxylic acid metabolic process	GO:0032787	protein complex
CPX-1038	PIP2-OAF1 transcription factor complex	S000217926	P	peroxisome organization	GO:0007031	protein complex
CPX-1038	PIP2-OAF1 transcription factor complex	S000217926	P	small molecule metabolic process	GO:0044281	protein complex
CPX-1039	COMPASS complex	S000217927	C	nucleus	GO:0005634	protein complex
CPX-1039	COMPASS complex	S000217927	C	organelle	GO:0043226	protein complex
CPX-1039	COMPASS complex	S000217927	F	methyltransferase activity	GO:0008168	protein complex
CPX-1039	COMPASS complex	S000217927	F	transferase activity	GO:0016740	protein complex
CPX-1039	COMPASS complex	S000217927	P	chromatin organization	GO:0006325	protein complex
CPX-1039	COMPASS complex	S000217927	P	peptidyl-amino acid modification	GO:0018193	protein complex
